id,stationName,totalDocks,latitude,longitude,stAddress1
3148,E 84 St & 1 Ave,31,40.77565541,-73.95068615,E 84 St & 1 Ave
3150,E 85 St & York Ave,55,40.77536905,-73.94803392,E 85 St & York Ave
3151,E 81 St & York Ave,43,40.7728384,-73.94989233,E 81 St & York Ave
3153,E 71 St & 2 Ave,37,40.76817546742245,-73.95910263061523,E 71 St & 2 Ave
3154,E 77 St & 3 Ave,31,40.77314236,-73.95856158,E 77 St & 3 Ave
3155,Lexington Ave & E 63 St,39,40.76440023,-73.96648977,Lexington Ave & E 63 St
3156,E 72 St & York Ave,39,40.76663814,-73.95348296,E 72 St & York Ave
3157,East End Ave & E 86 St,47,40.77518615,-73.94446054,East End Ave & E 86 St
3158,W 63 St & Broadway,31,40.77163851,-73.98261428,W 63 St & Broadway
3159,W 67 St & Broadway,31,40.77492513,-73.98266566,W 67 St & Broadway
3160,Central Park West & W 76 St,39,40.77896784,-73.97374737,Central Park West & W 76 St
3161,W 76 St & Columbus Ave,59,40.7801839724239,-73.97728532552719,W 76 St & Columbus Ave
3162,W 78 St & Broadway,39,40.78339981,-73.98093133,W 78 St & Broadway
3163,Central Park West & W 68 St,43,40.7734066,-73.97782542,Central Park West & W 68 St
3164,Columbus Ave & W 72 St,67,40.7770575,-73.97898475,Columbus Ave & W 72 St
3165,Central Park West & W 72 St,51,40.77579376683666,-73.9762057363987,Central Park West & W 72 St
3166,Riverside Dr & W 72 St,41,40.78057799010334,-73.98562431335449,Riverside Dr & W 72 St
3167,Amsterdam Ave & W 73 St,55,40.77966809007312,-73.98093044757842,Amsterdam Ave & W 73 St
3168,Central Park West & W 85 St,31,40.78472675,-73.96961715,Central Park West & W 85 St
3169,Riverside Dr & W 82 St,59,40.78720869,-73.98128127,Riverside Dr & W 82 St
3170,W 84 St & Columbus Ave,35,40.78499979,-73.97283406,W 84 St & Columbus Ave
3171,Amsterdam Ave & W 82 St,39,40.78524672,-73.97667321,Amsterdam Ave & W 82 St
3172,W 74 St & Columbus Ave,27,40.7785669,-73.97754961,W 74 St & Columbus Ave
3173,Riverside Blvd & W 67 St,63,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St
3175,W 70 St & Amsterdam Ave,31,40.77748046,-73.98288594,W 70 St & Amsterdam Ave
3176,W 64 St & West End Ave,43,40.77452835,-73.98753759,W 64 St & West End Ave
3177,W 84 St & Broadway,63,40.7867947,-73.977112,W 84 St & Broadway
3178,Riverside Dr & W 78 St,59,40.78414472,-73.98362492,Riverside Dr & W 78 St
3179,Park Ave & Marcus Garvey Blvd,23,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd
3180,Brooklyn Bridge Park - Pier 2,31,40.69878,-73.99712,Brooklyn Bridge Park - Pier 2
3182,Yankee Ferry Terminal,42,40.686931,-74.016966,Yankee Ferry Terminal
3183,Exchange Place,30,40.7162469,-74.0334588,Exchange Place
3184,Paulus Hook,14,40.7141454,-74.0335519,Paulus Hook
3185,City Hall,22,40.7177325,-74.043845,City Hall
3186,Grove St PATH,22,40.7192789,-74.0424515,Grove St PATH
3187,Warren St,22,40.7211236,-74.03805095,Warren St
3188,NJCU,18,40.7101087,-74.0858489,NJCU
3189,West Side Light Rail,14,40.714402,-74.0887723,West Side Light Rail
3190,Garfield Ave Light Rail,18,40.7108044,-74.0714882,Garfield Ave Light Rail
3191,Union St,18,40.7182113,-74.0836394,Union St
3192,Liberty Light Rail,22,40.7112423,-74.0557013,Liberty Light Rail
3193,Lincoln Park,18,40.7244188,-74.0780383,Lincoln Park
3194,McGinley Square,14,40.7256033,-74.06763,McGinley Square
3195,Sip Ave,34,40.7309459,-74.0638906,Sip Ave
3196,Riverview Park,18,40.7443187,-74.0439909,Riverview Park
3197,North St,18,40.752559,-74.044725,North St
3198,Heights Elevator,18,40.7485362,-74.0403131,Heights Elevator
3199,Newport Pkwy,14,40.7287448,-74.0321082,Newport Pkwy
3200,MLK Light Rail,18,40.7111305,-74.0788855,MLK Light Rail
3201,Dey St,18,40.737711,-74.066921,Dey St
3202,Newport PATH,18,40.7272235,-74.0337589,Newport PATH
3203,Hamilton Park,26,40.727595966,-74.044247311,Hamilton Park
3205,JC Medical Center,22,40.7165271,-74.049425,JC Medical Center
3206,Hilltop,26,40.7311689,-74.0575736,Hilltop
3207,Oakland Ave,14,40.7376037,-74.0524783,Oakland Ave
3209,Brunswick St,18,40.7241765,-74.0506564,Brunswick St
3210,Pershing Field,18,40.742677141,-74.051788633,Pershing Field
3211,Newark Ave,21,40.72152515,-74.046304543,Newark Ave
3212,Christ Hospital,22,40.734785818,-74.050443636,Christ Hospital
3213,Van Vorst Park,22,40.71848892,-74.047726625,Van Vorst Park
3214,Essex Light Rail,22,40.7127742,-74.0364857,Essex Light Rail
3215,Central Ave,18,40.7467299,-74.0492509,Central Ave
3216,Columbia Park,18,40.6970299,-74.0969366,Columbia Park
3217,Bayside Park,18,40.698650544,-74.082079678,Bayside Park
3220,5 Corners Library,18,40.734961020009514,-74.0595030784607,5 Corners Library
3221,47 Ave & 31 St,27,40.743,-73.93561,47 Ave & 31 St
3222,Hanson Pl & St Felix St,39,40.685159599891776,-73.97711366415024,Hanson Pl & St Felix St
3223,E 55 St & 3 Ave,55,40.758996559605116,-73.96865397691727,E 55 St & 3 Ave
3224,W 13 St & Hudson St,39,40.73997354103409,-74.00513872504234,W 13 St & Hudson St
3225,Baldwin at Montgomery,14,40.7236589,-74.0641943,Baldwin at Montgomery
3226,W 82 St & Central Park West,45,40.78275,-73.97137,W 82 St & Central Park West
3230,Penn Station Valet,7,40.751283596962296,-73.99692445993422,Penn Station Valet
3231,E 67 St & Park Ave,59,40.76780080148132,-73.96592080593109,E 67 St & Park Ave
3232,Bond St & Fulton St,31,40.68962188790333,-73.98304268717766,Bond St & Fulton St
3233,E 48 St & 5 Ave,39,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave
3235,E 41 St & Madison Ave,31,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave
3236,W 42 St & Dyer Ave,33,40.75898481399634,-73.99379968643188,W 42 St & Dyer Ave
3237,21 St & 41 Ave,25,40.75383343437622,-73.94267678260802,21 St & 41 Ave
3238,E 80 St & 2 Ave,37,40.77391390238118,-73.9543953537941,E 80 St & 2 Ave
3241,Monroe St & Tompkins Ave,19,40.686203,-73.944694,Monroe St & Tompkins Ave
3242,Schermerhorn St & Court St,39,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St
3243,E 58 St & 1 Ave,29,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave
3244,University Pl & E 8 St,31,40.73143724085228,-73.99490341544151,University Pl & E 8 St
3246,Montague St & Clinton St,39,40.694281141397326,-73.99230033159256,Montague St & Clinton St
3248,LPI Facility,0,0,0,LPI Facility
3249,Verona Pl & Fulton St,15,40.6803560840434,-73.9476791024208,Verona Pl & Fulton St
3254,Soissons Landing,29,40.69231660719192,-74.01486575603485,Soissons Landing
3255,8 Ave & W 31 St,43,40.7505853470215,-73.9946848154068,8 Ave & W 31 St
